SimulationName,Season,EnvType
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterMid,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterMid,1909,1
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterMid,1909,1
ExperimentDarling Downs ESiteDalby_GC150MSowingMidSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingMidSoilWaterLow,1909,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterMid,1909,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingMidSoilWaterHigh,1909,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterMid,1909,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterMid,1909,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterMid,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterMid,1909,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterMid,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterMid,1909,1
ExperimentDarling Downs ESiteDalby_GC150MSowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteDalby_Vert180SowingLateSoilWaterHigh,1909,1
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterMid,1910,1
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterHigh,1910,1
ExperimentDarling Downs ESiteMiles_GC120SowingEarlySoilWaterLow,1910,1
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterMid,1910,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterMid,1910,1
ExperimentDarling Downs ESiteDalby_GC150MSowingEarlySoilWaterHigh,1910,1
ExperimentDarling Downs ESiteDalby_Vert180SowingEarlySoilWaterHigh,1910,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterMid,1910,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterLow,1910,1
ExperimentDarling Downs ESitePittsworth_GC150MSowingEarlySoilWaterHigh,1910,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterMid,1910,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterHigh,1910,1
ExperimentDarling Downs SW P2SiteMoree_Vert200SowingMidSoilWaterHigh,1910,1
ExperimentDarling Downs SW P2SiteMoree_GC150HSowingMidSoilWaterMid,1910,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterLow,1910,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterMid,1910,1
ExperimentDarling Downs ESiteMiles_GC120SowingMidSoilWaterHigh,1910,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterLow,1910,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterMid,1910,1
ExperimentDarling Downs SW P1SiteGoondiwindi_RC140SowingMidSoilWaterMid,1910,1
ExperimentDarling Downs SW P1SiteGoondiwindi_GC120SowingMidSoilWaterHigh,1910,1
